"umoId","title","artistCreator","description","objectId","_id","photographer","people","appDate","isoDate","origDate","creationPlace","event","latitude","longitude","exhibition","labelTextEnglish","labelTextSpanish","locality","specimenNumber","commonName","scientificName","medium","copyright","creditLine","keyword","restrictionsForAccess","materialsReleaseRecd","permissionsRestrictions","sourceInstitution","infoStatus","institutionDesc","habitatDs","dsLocId","generalLocationDs","thenNowDs","internalNotes","","","","","thumbWidth","thumbHeight","thumbAspectRatio","expandedHeight","expandedWidth","expandedAspectRatio"
"","Island Fox Pup","","Island Fox pup. There are 6 subspecies of island fox, each named for the specific Channel Island they inhabit. Four of the subspecies - were federally listed as endangered in 2004.","7973744270_66b1d1327e_o","ds21004","A. Little","","September 10, 2012","2012-09-10","2012-Sep-10","Channel Islands, CA","","33.9859866","-119.905062","Attic / Coast to Cactus","Island Fox pup. There are 6 subspecies of island fox, each named for the Channel Island they inhabit. Four of these subspecies were federally listed as endangered in 2004.","","","","","","","","U.S. Fish & Wildlife Service/Creative Commons 2.0 License","A. Little/U.S. Fish & Wildlife Service","fox, endangered","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","Coast","21","Channel Islands","","https://www.flickr.com/photos/usfws_pacificsw/7973744270/in/set-72157626575602587/","","","","","131","175","0.748571","600","800","0.75"
"","Avalon Postcard","","Postcard of Avalon Bay, Santa Catalina Island, California.","Avalonbaybig","ds21003","","","1920","1920-00-00","ca. 1920","Santa Catalina Island","","33.3889848","-118.4549432","","Postcard of Avalon Bay, Santa Catalina Island, California.","","","","","","","Public Domain","Public Domain","postcard","Public Domain","","","","","","coast","21","Channel Islands","","","","","","","175","110","1.59091","1000","626","1.59744"
"","Swimmers in water near Santa Catalina Island (partially visible behind ship). S-009-057 120","","Swimmers in water near Santa Catalina Island (partially visible behind ship).","00001041","ds21002","","","1889","1889-00-00","1889","Santa Catalina Island, CA","","33.3889848","-118.4549432","","Swimmers in water near Santa Catalina Island.","","","","","","","Los Angeles Public Library","Los Angeles Public Library","","The contents of this collection are restricted to personal, research, and non-commercial use. The Library cannot share the personal and/or contact information of the donors, their descendants, or associates who contributed photographs and oral histories to the collection.","buy image from LAPL","","","","","coast","21","Channel Islands","","http://photos.lapl.org/carlweb/jsp/DoSearch?databaseID=968&index=w&terms=00001041","","","","","175","114","1.53509","1000","650","1.53846"
"","Point Bennett, San Miguel Island","","Point Bennett, San Miguel Island","8083583507_94a40b937d_o","ds21001","Michael Field","","October 06, 2012","2012-10-06","2012-Oct-06","San Miguel Island, CA","","34.0451262","-120.3740909","","Point Bennett, San Miguel Island","","","","","","","(CC) Michael Field, Creative Commons 2.0 License","Michael Field","","https://creativecommons.org/licenses/by-nc/2.0/","","","","","","coast","21","Channel Islands","","https://creativecommons.org/licenses/by-nc/2.0/","","","","","175","117","1.49573","1000","667","1.49925"
"","American Indian Girl Scout","","American Indian girl in a Girl Scout uniform.","00004916_R","ds20004","","","Between 1939 and 1941","1940-00-00","1939/1941","Riverside, CA","","33.9460156","-117.399528","Attic / Coast to Cactus","American Indian girl in a Girl Scout uniform.","","","","","","","Los Angeles Public Library","Los Angeles Public Library Shades of L.A. Collection","scout","The contents of this collection are restricted to personal, research, and non-commercial use. The Library cannot share the personal and/or contact information of the donors, their descendants, or associates who contributed photographs and oral histories to the collection.","","","","","","Scrublands","20","Riverside","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=147&controlNumber=22011","","","","","168","175","0.96","770","800","0.9625"
"","Murietta Hot Springs","","Camping near Murietta Hot Springs, in Riverside.","00049518_R","ds20003","","","Between 1913 and 1916","1914-00-00","1913/1916","Murietta, CA","","33.57746","-117.1984405","Attic / Coast to Cactus","Camping near Murietta Hot Springs, in Riverside.","","","","","","","Los Angeles Public Library","Los Angeles Public Library Security Pacific National Bank Collection","camping","http://www.lapl.org/collections-resources/photo-order-info","","","","","","Scrublands","20","Riverside","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=97&controlNumber=54597","","","","","135","175","0.771429","618","800","0.7725"
"","Lake Elsinore","","Lake Elsinore","5159675762_66b996500d_o","ds20002","Neil Kremer","","November 08, 2010","2010-11-08","2010-Nov-08","Lake Elsinore, CA","","33.6884935","-117.3177705","Attic / Coast to Cactus","Lake Elsinore.","","","","","","","(CC) Neil Kremer, Creative Commons License 2.0","Neil Kremer","lake","https://creativecommons.org/licenses/by-nd/2.0/","","https://creativecommons.org/licenses/by-nd/2.0/","","","","chaparral","20","Riverside","","https://www.flickr.com/photos/neilarmstrong2/5159675762","","","","","175","116","1.50862","1000","662","1.51057"
"","","","San Jacinto River in flood at western end of Perris Valley. Riverside County, California. 1905","mwc00571","ds20001","Mendenhall, W.C.","","1905","1905-00-00","1905","Perris Valley, CA","","33.7855715","-117.220792","Attic / Coast to Cactus","San Jacinto River in flood at western end of Perris Valley.","","","","","","","","USGS","flood","US Gov't so should be PD","","","","","","Riparian","20","Riverside","","/htmllib/btch429/btch429j/btch429z/btch429/mwc00571.jpg","","","","","175","114","1.53509","1000","651","1.5361"
"","hiking","","A Griffith Park hiking trail and downtown Glendale in the distance, the gloom of the day starting to lift. Shot from the top of Mt. Hollywood.","46677891_6d1eb82c52_o","ds19050","Clinton Steeds","","February 06, 2005","2005-02-06","2005-Feb-06","Glendale, CA","","34.136554","-118.2942","Attic / Coast to Cactus","A Griffith Park hiking trail and downtown Glendale in the distance, the gloom of the day starting to lift.  Shot from the top of Mt. Hollywood.","","","","","","","(CC) Clinton Steeds, Creative Commons License 2.0","Clinton Steeds","hiking","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Mountains","19","Los Angeles","","","","","","","175","116","1.50862","1000","665","1.50376"
"","L.A. Clouds","","It's hard to believe that the city of LA is just underneath this cloud layer.","241041706_4387fef1af_o","ds19049","Mel Stoutsenberger","","September 11, 2006","2006-09-11","2006-Sep-11","Los Angeles, CA","","34.0204989","-118.4117325","Attic / Coast to Cactus","It's hard to believe that the city of LA is just underneath this cloud layer.","","","","","","","(CC) Mel Stoutsenberger, Creative Commons License BY-SA 2.0","Mel Stoutsenberger","city","https://creativecommons.org/licenses/by-sa/2.0/","","https://creativecommons.org/licenses/by-sa/2.0/","","","","Mountains","19","Los Angeles","","https://www.flickr.com/photos/rappensuncle/241041706/","","","","","175","120","1.45833","1000","686","1.45773"
"","Venice Canal","","Venice Canal","5862393574_1e1177e544_o","ds19048","cuddlecafe","","June 21, 2011","2011-06-21","2011-Jun-21","Venice Beach, CA","","33.983688","-118.466263","Attic / Coast to Cactus","Venice Canal.","","","","","","","(CC) cuddlecafe, Creative Commons License 2.0","cuddlecafe","water","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","19","Los Angeles","","https://www.flickr.com/photos/humansquid/5862393574/","","","","","175","98","1.78571","1000","561","1.78253"
"","","","Mr Green Buddy. Allen's Hummer. All shiny and nice looking.","14129686642_328f44dac1_o","ds19047","tdlucas5000","","May 03, 2014","2014-05-03","2014-May-03","Lakewood, CA","","33.844693","-118.113051","Attic / Coast to Cactus","""Mr. Green Buddy"": an Allen's Hummingbird, all shiny and nice looking.","","","","","","","(CC) tdlucas5000, Creative Commons License BY-SA 2.0","tdlucas5000","hummingbird, bird","https://creativecommons.org/licenses/by-sa/2.0/","","https://creativecommons.org/licenses/by-sa/2.0/","","","","Urban","19","Los Angeles","","https://www.flickr.com/photos/tdlucas5000/14129686642","","","","","175","109","1.6055","1000","625","1.6"
"","","","Mudriver. Small break in the rain during the worst day of rain in the last 10 years. The tide was so low that the area your looking at is usually 20' below water. It was amazing to be there, I wish you could have seen it.","5286610828_f3431a4db9_o","ds19046","Neil Kremer","","December 22, 2010","2010-12-22","2010-Dec-22","Manhattan Beach, CA","","33.8894944","-118.4010315","Attic / Coast to Cactus","A small break in the rain during the rainiest day in the last 10 years. The tide was so low that the area shown is usually 20ft. below water.","","","","","","","(CC) Neil Kremer, Creative Commons License BY-ND 2.0","Neil Kremer","tide, beach","https://creativecommons.org/licenses/by-nd/2.0/","","https://creativecommons.org/licenses/by-nd/2.0/","","","","Coast","19","Los Angeles","","https://www.flickr.com/photos/neilarmstrong2/5286610828","","","","","175","116","1.50862","1000","665","1.50376"
"","","","Catalina Mariposa Lily. Calochortus catalinae","2391774294_00eaf57aaf_o","ds19045","Matthew Robinson","","April 05, 2008","2008-04-05","2008-Apr-05","Temescal Canyon, Pacific Palisades CA","","34.036789","-118.533834","Attic / Coast to Cactus","Catalina Mariposa Lily, Calochortus catalinae","","","","","","","(CC) Matthew Robinson, Creative Commons License 2.0","Matthew Robinson","plant","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Mountains","19","Los Angeles","","https://www.flickr.com/photos/noisecollusion/2391774294/","","","","","131","175","0.748571","600","800","0.75"
